id,type,method,prompt,generated_text,contrastive_entropy,raw_cce,code_entropy,language_entropy,total_entropy,code_prob_mass,language_prob_mass,other_prob_mass,coverage,top_k_predictions
lang_1,language_choice,keyword,Write a poem about a compiler optimizing code.,"

\begin{blockquote}

A compiler is a program that translates code from one programming language to another.
\end{blockquote}

\begin{code}
A compiler is a program that translates code from one",-0.9238846302032471,-1.1915464401245117,2.624732494354248,3.8162789344787598,5.277935981750488,0.050691600888967514,0.2769547402858734,0.6723538041114807,"{'code_count': 156, 'language_count': 234, 'other_count': 31626}","[('\n', np.float32(0.38081747)), ('It', np.float32(0.055292252)), ('I', np.float32(0.046925917)), ('The', np.float32(0.043061648)), ('', np.float32(0.031504575)), ('You', np.float32(0.024728224)), ('This', np.float32(0.023967417)), ('In', np.float32(0.01925836)), ('If', np.float32(0.017672464)), ('For', np.float32(0.016217165))]"
lang_1,language_choice,hybrid,Write a poem about a compiler optimizing code.,"

\begin{blockquote}

A compiler is a program that translates code from one programming language to another.
\end{blockquote}

\begin{code}
A compiler is a program that translates code from one",-0.923581600189209,-1.186631679534912,2.629683256149292,3.816314935684204,5.277935981750488,0.050716012716293335,0.2769553065299988,0.6723288297653198,"{'code_count': 160, 'language_count': 236, 'other_count': 31620}","[('\n', np.float32(0.38081747)), ('It', np.float32(0.055292252)), ('I', np.float32(0.046925917)), ('The', np.float32(0.043061648)), ('', np.float32(0.031504575)), ('You', np.float32(0.024728224)), ('This', np.float32(0.023967417)), ('In', np.float32(0.01925836)), ('If', np.float32(0.017672464)), ('For', np.float32(0.016217165))]"
lang_2,language_choice,keyword,Explain the philosophical difference between object-oriented and functional programming.,"

Comment: @JonSkeet: I'm not sure what you mean by ""the difference between object-oriented and functional programming"". I'm not sure what you mean by ""the difference between object-oriented and",-0.4729645252227783,-1.079017162322998,2.7111034393310547,3.7901206016540527,4.00178337097168,0.03041970357298851,0.14654822647571564,0.8230318427085876,"{'code_count': 156, 'language_count': 234, 'other_count': 31626}","[('\n', np.float32(0.5814518)), ('The', np.float32(0.031301092)), ('It', np.float32(0.03033806)), ('In', np.float32(0.02894878)), ('', np.float32(0.028058121)), ('I', np.float32(0.020052234)), ('This', np.float32(0.012845944)), ('For', np.float32(0.010402962)), ('If', np.float32(0.007262437)), ('A', np.float32(0.006984218))]"
lang_2,language_choice,hybrid,Explain the philosophical difference between object-oriented and functional programming.,"

Comment: @JonSkeet: I'm not sure what you mean by ""the difference between object-oriented and functional programming"". I'm not sure what you mean by ""the difference between object-oriented and",-0.47280028462409973,-1.0744123458862305,2.715806722640991,3.7902190685272217,4.00178337097168,0.030434079468250275,0.14654915034770966,0.8230165839195251,"{'code_count': 160, 'language_count': 236, 'other_count': 31620}","[('\n', np.float32(0.5814518)), ('The', np.float32(0.031301092)), ('It', np.float32(0.03033806)), ('In', np.float32(0.02894878)), ('', np.float32(0.028058121)), ('I', np.float32(0.020052234)), ('This', np.float32(0.012845944)), ('For', np.float32(0.010402962)), ('If', np.float32(0.007262437)), ('A', np.float32(0.006984218))]"
lang_3,language_choice,keyword,"Describe what makes a good software engineer, using metaphors from nature.","

### [The Engineer](https://www.youtube.com/watch?v=0IAPZzGS-wk)

* The Engineer is the person who makes the machine work.
* The Engine",-0.730477511882782,-0.7516558170318604,2.997344493865967,3.749000310897827,5.142201900482178,0.030156506225466728,0.21895621716976166,0.7508872747421265,"{'code_count': 156, 'language_count': 234, 'other_count': 31626}","[('\n', np.float32(0.44080842)), ('The', np.float32(0.057821486)), ('It', np.float32(0.031436995)), ('</s>', np.float32(0.026889486)), ('I', np.float32(0.02668023)), ('In', np.float32(0.022999795)), ('This', np.float32(0.02029725)), ('There', np.float32(0.013415663)), ('', np.float32(0.012407459)), ('Here', np.float32(0.011475023))]"
lang_3,language_choice,hybrid,"Describe what makes a good software engineer, using metaphors from nature.","

### [The Engineer](https://www.youtube.com/watch?v=0IAPZzGS-wk)

* The Engineer is the person who makes the machine work.
* The Engine",-0.7302575707435608,-0.7455160617828369,3.0035881996154785,3.7491042613983154,5.142201900482178,0.030176427215337753,0.21895766258239746,0.7508659958839417,"{'code_count': 160, 'language_count': 236, 'other_count': 31620}","[('\n', np.float32(0.44080842)), ('The', np.float32(0.057821486)), ('It', np.float32(0.031436995)), ('</s>', np.float32(0.026889486)), ('I', np.float32(0.02668023)), ('In', np.float32(0.022999795)), ('This', np.float32(0.02029725)), ('There', np.float32(0.013415663)), ('', np.float32(0.012407459)), ('Here', np.float32(0.011475023))]"
lang_4,language_choice,keyword,Write a short story where variables rebel against their programmer.,"

I'm trying to write a short story where a programmer creates a program that can create other programs. The program is called ""The Creator"" and it can create other programs. The programmer is very proud of his creation and he wants",-0.9881191253662109,-0.9184567928314209,3.205317735671997,4.123774528503418,5.794081687927246,0.032554034143686295,0.2649187445640564,0.7025277614593506,"{'code_count': 156, 'language_count': 234, 'other_count': 31626}","[('\n', np.float32(0.3878415)), ('The', np.float32(0.050873738)), ('I', np.float32(0.050873738)), ('It', np.float32(0.032590937)), ('In', np.float32(0.024600929)), ('This', np.float32(0.015394867)), ('', np.float32(0.014349594)), ('You', np.float32(0.013271207)), ('They', np.float32(0.011711799)), ('A', np.float32(0.011620657))]"
lang_4,language_choice,hybrid,Write a short story where variables rebel against their programmer.,"

I'm trying to write a short story where a programmer creates a program that can create other programs. The program is called ""The Creator"" and it can create other programs. The programmer is very proud of his creation and he wants",-0.9879008531570435,-0.9125552177429199,3.211348533630371,4.123903751373291,5.794081687927246,0.03257445991039276,0.26492100954055786,0.7025049924850464,"{'code_count': 160, 'language_count': 236, 'other_count': 31620}","[('\n', np.float32(0.3878415)), ('The', np.float32(0.050873738)), ('I', np.float32(0.050873738)), ('It', np.float32(0.032590937)), ('In', np.float32(0.024600929)), ('This', np.float32(0.015394867)), ('', np.float32(0.014349594)), ('You', np.float32(0.013271207)), ('They', np.float32(0.011711799)), ('A', np.float32(0.011620657))]"
lang_5,language_choice,keyword,Explain recursion as if teaching a five-year-old child.,"

Comment: @user3386109: I'm not sure what you mean by ""explain recursion as if teaching a five-year-old child"".  Recursion is a fundamental concept in computer science,",-0.8169314861297607,-1.034287691116333,2.869253396987915,3.903541088104248,5.135874271392822,0.028718994930386543,0.23038916289806366,0.7408919334411621,"{'code_count': 156, 'language_count': 234, 'other_count': 31626}","[('\n', np.float32(0.43611544)), ('I', np.float32(0.047056284)), ('The', np.float32(0.045253586)), ('', np.float32(0.036934905)), ('It', np.float32(0.031592097)), ('In', np.float32(0.01931186)), ('This', np.float32(0.017721562)), ('</s>', np.float32(0.013801565)), ('You', np.float32(0.013169545)), ('(', np.float32(0.0118976915))]"
lang_5,language_choice,hybrid,Explain recursion as if teaching a five-year-old child.,"

Comment: @user3386109: I'm not sure what you mean by ""explain recursion as if teaching a five-year-old child"".  Recursion is a fundamental concept in computer science,",-0.8165289759635925,-1.0225920677185059,2.8811423778533936,3.9037344455718994,5.135874271392822,0.028759725391864777,0.23039217293262482,0.740848183631897,"{'code_count': 160, 'language_count': 236, 'other_count': 31620}","[('\n', np.float32(0.43611544)), ('I', np.float32(0.047056284)), ('The', np.float32(0.045253586)), ('', np.float32(0.036934905)), ('It', np.float32(0.031592097)), ('In', np.float32(0.01931186)), ('This', np.float32(0.017721562)), ('</s>', np.float32(0.013801565)), ('You', np.float32(0.013169545)), ('(', np.float32(0.0118976915))]"
